URI,streams,title,date,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,popularity,duration_min,tempo_norm
4ZtFanR9U6ndgddUvNcjcG,298929707.0,good 4 u,2021-12-31,Olivia Rodrigo,['pop'],0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,4,0.95,2.969116666666667,0.7509475145166935
02MWAaffLxlfxAUY7c5dvx,274698424.0,Heat Waves,2021-12-31,Glass Animals,"['gauze pop', 'indietronica', 'shiver pop']",0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,4,0.95,3.980083333333333,0.2405174407914637
5nujrmhLynf4yMoMtj8AQF,259084916.0,Levitating (feat. DaBaby),2021-12-31,Dua Lipa,"['dance pop', 'pop', 'uk pop']",0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,4,0.89,3.3844,0.3716392149419629
5PjdY0CKGZdEuoNab3yDmX,213210475.0,STAY (with Justin Bieber),2021-12-31,The Kid LAROI,['australian hip hop'],0.591,0.764,1,-5.484,1,0.0483,0.0383,0.0,0.103,0.478,4,0.93,2.363433333333333,0.768741214360702
3YJJjQPAbDT7mGpX3WtQ9A,195347175.0,Good Days,2021-12-31,SZA,"['pop', 'r&b']",0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,4,0.86,4.6534,0.4785496948380476
4iJyoBOLtHqaGxP12qzhQI,194751133.0,Peaches (feat. Daniel Caesar & Giveon),2021-12-31,Justin Bieber,"['canadian pop', 'pop']",0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,4,0.91,3.3013666666666666,0.2948475376485032
7lPN2DXiMsVn7XUKtOW1CS,188194021.0,drivers license,2021-05-20,Olivia Rodrigo,['pop'],0.585,0.436,10,-8.761,1,0.0601,0.721,1.31e-05,0.105,0.132,4,0.34,4.033566666666666,0.6142088624487689
65OVbaJR5O1RmwOQx0875b,180869893.0,Wants and Needs (feat. Lil Baby),2021-12-31,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.578,0.449,1,-6.349,1,0.286,0.0618,2.17e-06,0.119,0.1,4,0.86,3.215933333333333,0.5675419189912159
0VjIjW4GlUZAMYd2vXMi3b,177035940.0,Blinding Lights,2021-12-31,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,4,0.94,3.334,0.775129152604701
5CZ40GBx1sQ9agT82CLQCT,167545529.0,traitor,2021-12-31,Olivia Rodrigo,['pop'],0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,4,0.93,3.82045,0.3575821920651961
